,Title,Rating,Number of User Reviews,Year,Duration,Genres,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,Unknown,War,Western,Cluster
1259,The Trip,6.5,59.0,2011,109,['Comedy'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1260,Harry Potter and the Prisoner of Azkaban,8.4,1089.0,2004,141,"['Adventure', 'Family', 'Fantasy', 'Mystery']",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7
1261,La Promesse (The Promise),8.4,11.0,1997,93,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1262,Michael Clayton,7.3,159.0,2007,119,"['Crime', 'Drama', 'Mystery', 'Thriller']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4
1263,Downfall,8.7,234.0,2005,156,"['Biography', 'Drama', 'History', 'War']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5
1264,Knives Out,7.7,1164.0,2019,131,"['Comedy', 'Crime', 'Drama', 'Mystery', 'Thriller']",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4
1265,My Man Godfrey,6.9,7.0,1936,94,"['Comedy', 'Drama', 'Romance']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
1266,The Spectacular Now,7.9,264.0,2013,95,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
1267,Face/Off,7.6,301.0,1997,138,"['Action', 'Crime', 'Sci-Fi', 'Thriller']",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4
1268,The Endless Summer,7.0,4.0,1966,95,"['Documentary', 'Sport']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1269,Sator,5.8,16.0,2021,85,['Horror'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6
1270,Let the Right One In,8.1,284.0,2008,115,"['Drama', 'Fantasy', 'Horror', 'Romance']",0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
1271,Rams,7.6,34.0,2016,93,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1272,Paris Is Burning,7.1,11.0,1991,71,['Documentary'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1273,Hold Me Tight,6.1,11.0,2022,97,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1274,Certified Copy,7.6,61.0,2011,106,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
1275,Night Moves,7.3,12.0,1975,100,"['Crime', 'Drama', 'Mystery', 'Thriller']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4
1276,The Celebration,8.3,35.0,1998,105,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1277,Broadway Danny Rose,7.3,15.0,1984,84,['Comedy'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1278,Taxi to the Dark Side,7.3,28.0,2008,106,"['Documentary', 'Crime', 'History', 'War']",0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1279,Mirror (1975),8.1,30.0,1983,107,"['Biography', 'Drama']",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1280,Repo Man,7.0,33.0,1984,92,"['Action', 'Comedy', 'Crime', 'Sci-Fi', 'Thriller']",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4
1281,Challengers,6.5,303.0,2024,131,"['Comedy', 'Drama', 'Romance', 'Sport']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
1282,Pig,7.2,215.0,2021,92,"['Drama', 'Mystery']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
1283,Give Me Liberty,7.6,16.0,2019,110,"['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1284,Marjorie Prime,7.3,39.0,2017,99,"['Drama', 'Mystery', 'Romance', 'Sci-Fi']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2
1285,Once Upon a Time in the West (re-release),8.7,255.0,2005,175,"['Drama', 'Western']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
1286,Sorry We Missed You,7.9,50.0,2020,101,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1287,Steve Jobs,7.1,525.0,2015,122,"['Biography', 'Drama']",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1288,Marley,8.3,33.0,2012,144,"['Documentary', 'Biography', 'Music']",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1289,Touching the Void,8.4,30.0,2004,106,"['Documentary', 'Adventure', 'Drama', 'Sport']",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1290,Le Havre,7.1,45.0,2011,103,"['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1291,The Holdovers,8.1,248.0,2023,133,"['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1292,Araby,6.5,4.0,2018,97,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1293,Sound of Metal,8.2,288.0,2020,120,"['Drama', 'Music']",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
1294,Embrace of the Serpent,7.8,79.0,2016,125,"['Adventure', 'Biography', 'Drama']",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1295,Exhibiting Forgiveness,5.9,8.0,2024,117,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1296,Sieranevada,6.7,9.0,2017,173,"['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1297,Da 5 Bloods,5.7,323.0,2020,154,"['Adventure', 'Drama', 'War']",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
1298,Side by Side,8.1,40.0,2012,99,['Documentary'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1299,The Last Black Man in San Francisco,7.0,78.0,2019,121,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1300,Days of Glory,6.7,10.0,2006,120,"['Action', 'Drama', 'War']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
1301,My Summer of Love,6.7,28.0,2005,86,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
1302,Isle of Dogs,8.0,554.0,2018,101,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi']",0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7
1303,Mysteries of Lisbon,5.9,18.0,2011,272,"['Drama', 'Mystery', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
1304,Burma VJ: Reporter i et lukket land,6.6,5.0,2009,84,"['Documentary', 'History', 'News']",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1305,Mountain,5.7,14.0,2018,74,['Documentary'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1306,Archipelago,6.6,9.0,2014,114,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1307,Read My Lips,7.1,7.0,2002,115,"['Crime', 'Drama', 'Romance', 'Thriller']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4
1308,Mademoiselle Chambon,7.5,8.0,2010,101,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
1309,The Return,8.3,45.0,2004,105,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1310,Smoke Sauna Sisterhood,6.1,16.0,2023,89,['Documentary'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1311,Certain Women,6.2,73.0,2016,107,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1312,My Life as a Dog,8.1,8.0,1987,101,"['Drama', 'Comedy']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1313,Derek DelGaudio’s In & Of Itself,8.0,16.0,2021,90,['Documentary'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1314,Frozen River,7.3,43.0,2008,97,"['Crime', 'Drama']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1315,Superman,7.9,369.0,1978,143,"['Action', 'Adventure', 'Sci-Fi']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
1316,The Killer,7.2,33.0,1990,111,"['Action', 'Crime', 'Drama', 'Thriller']",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
1317,Drugstore Cowboy,6.8,36.0,1989,102,"['Crime', 'Drama']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1318,Heal the Living,7.0,9.0,2017,103,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1319,Love Is Strange,7.0,55.0,2014,94,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
1320,Navalny,7.7,55.0,2022,98,"['Documentary', 'Biography']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321,The Girl Without Hands,7.0,10.0,2017,76,"['Animation', 'Drama', 'Fantasy']",0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1322,Blow-Up,7.8,31.0,1966,111,"['Drama', 'Mystery', 'Thriller']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5
1323,Tess,7.9,14.0,1980,186,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
1324,The Assassin,6.3,91.0,2015,105,"['Action', 'Drama', 'History']",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
1325,Concert for George,7.0,7.0,2003,146,"['Documentary', 'Music']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1326,One Day in September,8.0,12.0,2000,94,"['Documentary', 'History', 'Sport']",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1327,The Twilight Samurai,8.4,20.0,2004,129,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
1328,Dazed and Confused,7.9,175.0,1993,102,['Comedy'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1329,Late Marriage,5.7,6.0,2002,102,"['Comedy', 'Drama', 'Romance']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
1330,Madeline's Madeline,6.7,21.0,2018,93,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1331,Requiem,7.2,9.0,2006,89,"['Drama', 'Horror']",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
1332,Captain Phillips,8.1,792.0,2013,134,"['Action', 'Biography', 'Crime', 'Drama', 'Thriller']",1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
1333,Soft & Quiet,6.3,37.0,2022,91,"['Drama', 'Horror', 'Thriller']",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6
1334,The Climb,6.3,25.0,2020,98,"['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1335,A Hero,7.9,84.0,2022,127,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1336,Three Kings,7.5,152.0,1999,114,"['Action', 'Adventure', 'Comedy', 'Drama', 'War']",1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
1337,The Northman,7.3,608.0,2022,136,"['Action', 'Adventure', 'Drama', 'Fantasy', 'History', 'Thriller']",1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3
1338,Neruda,7.2,28.0,2016,107,"['Biography', 'Crime', 'Drama', 'History', 'Thriller']",0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4
1339,Blancanieves,7.8,36.0,2013,104,"['Drama', 'Fantasy']",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1340,Once Upon a Time in Anatolia,8.0,98.0,2012,150,"['Crime', 'Drama', 'Thriller']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
1341,John McEnroe: In the Realm of Perfection,6.1,7.0,2018,95,"['Documentary', 'Sport']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1342,Stranger by the Lake,6.5,77.0,2014,97,"['Drama', 'Romance', 'Thriller']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
1343,Gilles' Wife,7.0,5.0,2005,103,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1344,Oliver Sacks: His Own Life,7.7,6.0,2020,111,"['Documentary', 'Biography']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1345,The Maid,7.9,10.0,2009,95,"['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1346,The Filth and the Fury,8.8,5.0,2000,108,"['Documentary', 'Biography', 'Music']",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1347,Sicario,8.0,1108.0,2015,121,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4
1348,The Long Good Friday,8.0,5.0,1982,114,"['Crime', 'Drama', 'Mystery', 'Thriller']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4
1349,Bacurau,7.7,137.0,2020,131,"['Action', 'Adventure', 'Drama', 'Horror', 'Mystery', 'Thriller', 'Western']",1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,6
1350,George Washington,7.3,23.0,2000,89,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1351,Our Time Will Come,6.9,7.0,2017,130,"['Drama', 'War']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
1352,A Thousand Cuts,4.7,10.0,2020,110,['Documentary'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1353,No Home Movie,7.0,7.0,2016,115,['Documentary'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1354,Another Year,7.4,73.0,2010,129,"['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1355,Make Up,3.0,7.0,2020,86,"['Drama', 'Mystery', 'Thriller']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5
1356,At Berkeley,7.8,4.0,2013,244,['Documentary'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1357,Blade Runner 2049,8.3,2656.0,2017,164,"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,3
1358,Step,7.2,6.0,2017,84,['Documentary'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1359,Experimenter,7.4,58.0,2015,98,"['Biography', 'Drama', 'History']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
1360,Eden,6.5,19.0,2015,131,"['Biography', 'Drama', 'Music']",0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
1361,Short Cuts,8.1,55.0,1993,187,"['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1362,A Mighty Wind,7.0,33.0,2003,91,"['Comedy', 'Music']",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1363,The Damned United,7.9,51.0,2009,98,"['Biography', 'Drama', 'Sport']",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
1364,Georgia,5.7,7.0,1995,115,"['Drama', 'Music']",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
1365,The Woman Who Ran,7.5,6.0,2021,77,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1366,Duel,7.9,26.0,1971,90,"['Action', 'Thriller']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
1367,Mass,7.8,53.0,2021,110,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1368,Western,7.4,20.0,2018,121,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1369,Wadjda,7.2,56.0,2013,98,"['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1370,Fresh,7.3,6.0,1994,114,"['Crime', 'Drama', 'Thriller']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
1371,13th,7.6,143.0,2016,100,"['Documentary', 'Crime', 'History']",0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1372,The Levelling,6.1,10.0,2017,83,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1373,This Much I Know to Be True,8.7,9.0,2022,101,"['Documentary', 'Music']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1374,Arrival,8.1,2036.0,2016,116,"['Drama', 'Mystery', 'Sci-Fi']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5
1375,Juno,7.7,405.0,2007,96,"['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1376,Elena,7.5,15.0,2014,109,"['Documentary', 'Biography', 'Drama']",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1377,Get Shorty,7.0,76.0,1995,105,"['Comedy', 'Crime', 'Thriller']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
1378,The Fly,7.9,194.0,1986,96,"['Drama', 'Horror', 'Sci-Fi']",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6
1379,Everything Everywhere All at Once,7.9,938.0,2022,139,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
1380,Blue Valentine,7.7,383.0,2010,120,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
1381,Close,8.0,48.0,2023,105,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1382,The Dissident,7.8,24.0,2020,119,"['Documentary', 'Crime', 'Thriller']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
1383,Truman,7.8,11.0,2017,108,"['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1384,"Arabian Nights: Volume 1, The Restless One",7.3,9.0,2015,125,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1385,Master and Commander: The Far Side of the World,7.8,210.0,2003,138,"['Action', 'Adventure', 'Drama', 'War']",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
1386,Godzilla Minus One,8.6,500.0,2023,124,"['Action', 'Adventure', 'Drama', 'Horror', 'Sci-Fi']",1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3
1387,The Secret of Kells,7.8,98.0,2010,75,"['Animation', 'Adventure', 'Family', 'Fantasy']",0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1388,Top Five,6.8,159.0,2014,102,"['Comedy', 'Romance']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1389,A Simple Plan,8.0,80.0,1998,121,"['Crime', 'Drama', 'Thriller']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
1390,Closet Monster,7.6,45.0,2016,90,"['Drama', 'Fantasy', 'Mystery']",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
1391,Godland,6.8,30.0,2023,143,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1392,Katyn,6.7,26.0,2009,121,"['Drama', 'History', 'War']",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5
1393,Klute,6.9,19.0,1971,114,"['Crime', 'Mystery', 'Thriller']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4
1394,Coming Home,7.5,22.0,2015,109,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
1395,Living in Oblivion,8.0,9.0,1995,90,"['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1396,Coco,8.4,1057.0,2017,105,"['Animation', 'Adventure', 'Drama', 'Family', 'Fantasy', 'Music', 'Mystery']",0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7
1397,My Joy,8.8,5.0,2011,127,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1398,Little Richard: I Am Everything,6.4,5.0,2023,98,"['Documentary', 'Biography', 'History', 'Music']",0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1399,Bridge of Spies,7.6,654.0,2015,141,"['Drama', 'History', 'Thriller', 'War']",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,5
1400,Driving Miss Daisy,7.2,77.0,1989,99,"['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1401,Shaun the Sheep Movie,8.0,205.0,2015,85,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1402,Bombshell,6.8,4.0,1933,96,"['Comedy', 'Drama', 'Mystery', 'Romance']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
1403,Theater of Blood,8.8,5.0,1973,104,"['Comedy', 'Drama', 'Horror']",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1404,Invisible Life,8.3,39.0,2019,139,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1405,I Do Not Care If We Go Down in History as Barbarians,6.6,7.0,2019,140,"['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1406,White Material,6.5,34.0,2010,106,"['Drama', 'War']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
1407,The Station Agent,7.9,73.0,2003,89,"['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1408,Foxcatcher,7.1,409.0,2014,129,"['Biography', 'Drama', 'History', 'Sport']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5
1409,"Arabian Nights: Volume 2, The Desolate One",9.6,5.0,2015,131,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
1410,Dolores,7.7,6.0,2017,95,"['Documentary', 'Biography', 'History']",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1411,Bamako,6.0,4.0,2007,115,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
